Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15,Year,Role
Aurora,6,65,87,3,3,50,4.4,32:44:00,7.4,546,386,8.5,21,21,2024,Top
Jax,37,31,83,19,18,51,2.9,34:10:00,8,430,399,-6,-32,-204,2024,Top
Gnar,32,21,65,19,13,59,3.2,32:33:00,8.1,497,406,-1.8,-187,-223,2024,Top
Yone,1,49,61,1,0,100,2.8,33:28:00,7.9,769,437,15,952,1226,2024,Top
Rumble,26,20,56,15,11,58,3.4,32:16:00,7.7,625,386,9.1,199,330,2024,Top
Renekton,16,22,46,4,12,25,1.6,33:54:00,7.8,426,375,2.6,40,150,2024,Top
Poppy,4,27,38,0,4,0,2.9,36:39:00,7.3,441,345,-7.2,88,-48,2024,Top
KSante,11,12,28,5,6,45,3.1,32:51:00,7.3,483,373,-3.8,-57,234,2024,Top
Smolder,1,13,17,0,1,0,1,20:58,7.2,641,333,23,1010,329,2024,Top
Maokai,2,8,12,0,2,0,1.1,29:40:00,7.2,406,323,-13,-780,56,2024,Top
Galio,5,2,9,3,2,60,3.4,32:27:00,7.9,405,375,2.4,473,552,2024,Top
Gragas,5,1,7,4,1,80,7,31:26:00,7.8,406,377,14,382,463,2024,Top
Olaf,3,2,6,1,2,33,1.6,33:13:00,7.8,621,393,-20.7,-861,-986,2024,Top
Kennen,3,0,4,1,2,33,3.5,38:17:00,8.2,610,382,2.3,-385,-503,2024,Top
Urgot,2,1,4,1,1,50,2.3,38:01:00,8.9,649,443,-4.5,197,73,2024,Top
Yasuo,2,1,4,2,0,100,9.3,31:42:00,9,574,443,-7.5,414,152,2024,Top
Camille,3,0,4,2,1,67,4.8,33:54:00,8.5,400,421,2.7,-173,-401,2024,Top
Sion,2,0,2,1,1,50,1.4,29:11:00,8.2,377,348,25.5,789,272,2024,Top
Darius,1,0,1,0,1,0,1.3,33:28:00,7.6,414,348,-15,-952,-1226,2024,Top
Ornn,1,0,1,1,0,100,10,27:25:00,6.5,321,385,-22,-563,-272,2024,Top
Sett,1,0,1,0,1,0,0.7,30:12:00,8.7,330,361,-12,-191,616,2024,Top
Rumble,20,46,84,14,6,70,4,30:15:00,7.8,650,392,5.8,302,139,2023,Top
Jax,24,25,62,12,12,50,1.9,31:13:00,8.5,506,401,-8.5,-315,-267,2023,Top
KSante,27,15,53,11,16,41,2.4,31:49:00,7.6,413,366,-5.8,-156,-201,2023,Top
Poppy,2,35,47,0,2,0,0.7,33:41:00,6.8,409,323,-16.5,-534,-291,2023,Top
Renekton,23,12,44,9,14,39,2.1,31:43:00,8.4,432,383,7.8,248,160,2023,Top
Aatrox,26,3,37,14,12,54,2.3,30:47:00,8.3,508,392,-0.7,-31,300,2023,Top
Gnar,7,6,16,5,2,71,3.6,31:59:00,9,599,432,2,397,398,2023,Top
Jayce,4,8,15,3,1,75,2.6,36:40:00,8.9,860,443,15.5,-92,180,2023,Top
Ornn,5,4,11,2,3,40,2,28:51:00,7.2,360,328,-6.8,-546,-38,2023,Top
Yone,3,6,11,3,0,100,5,33:27:00,9.7,683,458,11.3,-44,-411,2023,Top
Kennen,2,5,9,0,2,0,0.5,25:29:00,7.9,522,340,4.5,-108,-518,2023,Top
Gwen,4,3,9,1,3,25,1.8,29:48:00,9.2,459,400,11.2,257,-148,2023,Top
Olaf,3,3,8,1,2,33,2.3,30:40:00,8,548,385,-10,-251,-492,2023,Top
Garen,1,3,5,0,1,0,1.3,27:04:00,7.6,402,441,-6,1399,-365,2023,Top
Gragas,2,0,3,2,0,100,1.4,32:20:00,7.9,479,367,-7,-342,-441,2023,Top
Graves,1,0,1,1,0,100,8,28:09:00,8.8,710,485,49,2437,796,2023,Top
Quinn,1,0,1,0,1,0,0.2,28:33:00,8,492,321,24,145,494,2023,Top
Ryze,1,0,1,1,0,100,13,34:24:00,8.8,525,441,14,499,178,2023,Top
Volibear,1,0,1,0,1,0,0.3,24:34:00,7.1,205,309,-39,-1256,-1435,2023,Top
Camille,1,0,1,0,1,0,1,27:39:00,8.4,271,367,-10,-234,395,2023,Top
Aatrox,22,58,100,12,10,55,2.8,32:05:00,8.1,503,385,10.2,222,292,2022,Top
Sejuani,11,42,66,5,6,45,2.6,29:18:00,7.4,470,366,-5.4,-29,-53,2022,Top
Maokai,13,35,60,3,10,23,1.5,29:32:00,6.8,456,315,-17,-808,-524,2022,Top
Fiora,19,23,53,9,10,47,2.9,30:58:00,8.6,471,401,4.2,141,-103,2022,Top
Renekton,16,23,49,5,11,31,1.9,33:28:00,8.1,436,390,11.7,290,280,2022,Top
